,id,rent,suburb_encoded,bedroom,bathroom,parking,propertyType_Apartment,propertyType_Block of Units,propertyType_Duplex,propertyType_House,propertyType_Semi-Detached,propertyType_Terrace,propertyType_Townhouse,propertyType_Villa,land,under 20,20-39,40-59,60+,Owner,Renter,Family,Single,propertyFeatures_encoded,doc2vec_embedding_1,doc2vec_embedding_2,doc2vec_embedding_3,doc2vec_embedding_4,doc2vec_embedding_5,doc2vec_embedding_6,doc2vec_embedding_7,doc2vec_embedding_8,doc2vec_embedding_9,doc2vec_embedding_10,educationIndex,transportIndex,lifeIndex
0,17205042,700.0,648.6020208845209,4.0,3.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,19,22,24,35,61,39,63,37,0.15533373363990297,-0.41535836,-1.1535066,0.4515931,0.24537353,-0.05550538,0.1755381,0.14084384,0.006450027,0.19326255,-0.06415193,1.1144322693650437,2.915810436082661,3.9866175392588388
1,17204896,480.0,485.74074074074076,3.0,1.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,17,25,23,35,41,59,39,61,1.7361506758574274,-0.17555177,0.012743473,-1.8111329,-0.388244,0.38365734,-0.34559238,0.21121888,0.007480085,0.32696378,0.10553263,3.477723046046005,1.9401966791879208,2.1761844148695726
2,17203170,490.0,575.6818181818181,2.0,1.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,25,30,25,20,58,42,51,49,0.7760477651415647,-0.8796175,0.85423166,0.51746315,-0.8932711,-0.25472972,0.16188231,-0.5050471,0.13590786,0.86725193,0.40807533,3.595711603221828,2.7590672111523507,3.4840881288572394
3,17202789,601.0202088452088,653.868229283002,4.0,1.0,1.0,0,0,0,1,0,0,0,0,615.0,17,35,24,23,50,50,53,47,2.0985714894632035,-0.89214146,-1.1066471,0.46938986,0.17500436,0.10068126,1.3659594,0.26858437,-0.5442918,-0.45815474,-0.82200366,3.7415221396206624,3.8065084784348784,3.7618360483296573
4,17202775,415.0,481.8421052631579,2.0,1.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,24,29,21,26,63,37,50,50,1.4228184822021632,1.1438558,0.30115914,0.56016845,1.1250368,-0.087543614,0.39609405,0.06270096,-0.47965577,0.0012723804,-0.8629821,3.563454282342589,2.7184921118536525,2.9723611355521244
5,17202291,620.0,485.74074074074076,4.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,31,42,20,7,43,57,59,41,1.3383931298583165,-0.44049972,-0.35448766,-0.7647931,-0.84445333,0.10110064,-0.5318077,-0.1331748,0.17735073,0.022566259,-0.1295044,3.1708381032538067,1.9401611932307532,2.216371727842133
6,17201267,601.0202088452088,648.0021272468641,4.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,18,34,25,23,55,45,53,47,1.705434242130526,-0.33909655,-0.55971706,0.2253105,0.50048417,0.043914273,0.03061089,-0.88909423,-0.2413668,0.7528733,-0.256739,3.551922997324815,3.5410914493212333,3.601900680562757
7,17187114,695.0,631.047871488089,2.0,1.0,4.0,0,0,0,1,0,0,0,0,615.710027100271,33,19,25,22,75,25,61,39,1.7565703962891852,-0.26591218,-0.05509472,0.37863117,-0.5822232,-0.6195594,0.35737237,-0.3928211,-0.41407186,-0.33923084,-0.51335764,3.845803137916364,3.240992809242902,3.9538390157697036
8,17194918,950.0,754.0,3.0,1.0,3.0,0,0,0,1,0,0,0,0,615.710027100271,34,20,28,19,80,20,63,37,1.1960474213169159,-0.37236208,0.9766196,0.2869441,0.6368789,0.07597543,0.39430675,0.40639403,0.34557697,-0.009398699,0.13253652,3.647075611266525,3.836504291366375,3.631736009001474
9,17194316,495.0,496.3333333333333,3.0,1.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,25,27,25,23,81,19,59,41,1.0441339336203235,0.021987319,0.89575297,0.38331956,-0.20636323,0.44310248,0.62310123,-0.16415903,0.027663976,0.085776895,0.14606075,3.55416214010771,2.7712494028480594,3.53446839907626
10,16254842,149.0,612.137375102375,3.0,1.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,34,12,32,22,68,32,67,33,0.41180263734301803,-0.052363753,-0.8409277,-0.15805495,0.4370187,0.41801596,0.106640756,0.2238304,0.30940834,-0.15490517,-0.056928053,3.7586765754846825,3.822524483746633,3.60870624836494
11,16482891,460.0,474.1562176988901,4.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,32,36,24,8,74,26,66,34,1.6237247094913643,-0.13407713,0.18846607,0.0072395205,0.2199395,-0.37574747,-0.19398403,-0.66442657,-0.034775823,-0.10342167,-0.2013555,3.32848124452874,2.9160545022747613,3.5725365639415223
12,17191862,480.0,481.8421052631579,3.0,1.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,30,27,23,20,78,22,56,44,0.7171189156420301,1.0019665,0.6290751,0.10619718,-0.06354341,-0.3122785,0.07543403,-0.16871414,-0.5622653,0.5431844,0.51787156,3.5843277776311675,2.717193158553436,3.229378503482956
13,13692893,520.0,547.3415004704898,4.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,34,39,24,3,83,17,75,25,2.573846499237837,0.02027762,-0.09856737,0.5209958,0.035974205,0.053325817,0.092422664,-1.0888337,-0.05170299,0.17209935,0.0065586865,3.4829248883167807,2.9640401715260776,3.5666090753636364
14,17184679,601.0202088452088,613.0085326235326,4.0,2.0,4.0,0,0,0,1,0,0,0,0,615.710027100271,22,21,26,30,86,14,61,39,1.8815377188961881,-1.9117424,0.575791,0.6415352,-0.5151167,0.3133365,-0.21277441,0.4693593,0.47848567,0.19928452,0.22395982,3.674037786833884,3.6873240271772976,3.6775190743342243
15,17178849,775.0,631.047871488089,2.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,19,19,26,36,76,24,62,38,1.0555763605518163,-1.7511542,0.5778226,-0.2904597,-0.7533276,0.677645,-0.429395,0.20878308,0.2626557,-0.024582088,0.006155759,3.7700171660070367,3.5288929929389266,3.911805689669941
16,17177606,470.0,485.74074074074076,3.0,2.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,23,28,25,24,43,57,48,52,0.9518967549385077,0.9556041,0.19765353,0.019620657,0.3364999,1.0427026,-0.4162797,0.43045884,-0.16264832,-0.27480993,0.31000698,3.4045439536654607,1.946492841909312,2.0933615453626775
17,17159871,850.0,575.2121217509375,3.0,3.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,14,32,25,29,52,48,51,49,0.7215666020417644,-0.10192466,0.12681985,0.3344329,0.4496968,0.11319895,-0.3097337,0.0012434125,-0.55065954,0.42004722,0.12640639,3.5471163805040327,2.7558981522871453,3.7116392162833822
18,17180758,560.0,551.2962962962963,4.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,28,39,24,9,59,41,62,38,1.6307966978350594,0.040711164,0.5256862,-0.46743113,-0.015633434,0.5082355,0.4226236,-0.7874782,-0.13958368,0.1390312,0.18620156,3.3357234470333834,2.915802886523541,3.6617129957800025
19,17180463,430.0,415.38461538461536,3.0,1.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,23,24,27,26,76,24,47,53,0.7567114727758806,0.21928763,0.147784,0.01769036,-0.022604913,-0.098869585,0.78083086,0.09776825,0.51041853,0.06913936,0.28031814,3.447113993487661,2.8052814899907403,3.3099832215767204
20,17180107,400.0,449.2692307692308,3.0,1.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,20,24,24,32,66,34,45,55,1.2256030808226257,-1.011404,-0.04586041,-0.5577265,0.0765228,0.41893607,-0.6188026,-0.38204393,-0.15595621,0.19393107,0.21689005,3.4392607775993493,2.7398797803089163,3.2952927995243417
21,14953968,420.0,494.5344076320639,3.0,2.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,26,26,19,29,85,15,56,44,1.1470106619015197,-0.2780481,-0.11080003,-0.43767577,0.010389239,0.29892176,0.4076958,0.122716546,-0.21427512,0.60636693,0.7407565,3.112645686104156,2.939222912588802,3.6769469249102986
22,17172701,601.0202088452088,654.9562302562302,4.0,3.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,36,16,30,18,72,28,69,31,2.403229079213048,0.6433052,0.118554235,0.63371223,-0.2420136,0.46615684,1.3325986,-0.0489704,0.3533025,0.03610736,0.28583246,3.809204374916338,3.830267933335021,3.9315697590565355
23,17159101,450.0,449.2692307692308,3.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,22,31,25,23,58,42,39,61,2.0405424769932146,0.32510412,0.029109478,-0.00081932545,-0.6101824,-1.0318803,-0.1938465,-0.41033867,-0.56956077,0.53585017,-0.522312,3.477193746377458,2.7263061464167686,3.311399888644127
24,17175104,400.0,434.59407281907284,3.0,1.0,1.0,0,0,0,1,0,0,0,0,615.710027100271,24,31,29,16,63,37,50,50,0.835538288608747,0.5353658,1.5410168,-0.85418075,0.3905935,-1.1320584,0.6212926,0.34754285,-0.7551854,0.105947256,-0.116062604,3.502634003659068,2.793581898241854,2.726735186957053
25,17203399,640.0,696.4285714285714,3.0,2.0,4.0,0,0,0,1,0,0,0,0,615.710027100271,21,24,26,29,75,25,66,34,1.9213148243790095,0.01824665,0.046448946,-0.042495072,-0.49103823,-0.2860009,0.112351954,-0.16444191,0.48581442,0.3088802,-0.2741618,3.608119787325661,4.9170782457033,3.63741278954578
26,15823731,920.0,630.4411764705883,4.0,1.0,4.0,0,0,0,1,0,0,0,0,645.0,22,34,24,20,61,39,50,50,1.7671568172917087,-0.5692129,-0.39658856,-0.12368864,-0.5459733,0.43606997,0.9445586,-0.25903133,-0.055827186,-0.4102403,0.0024446547,3.534950847868754,3.83493508464113,3.6737846251188304
27,17188331,550.0,562.1561066083793,4.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,33,35,28,4,58,42,68,32,0.15533373363990297,0.98185134,0.23397923,0.11216682,0.8705026,-0.582952,0.26691625,1.1424934,0.7869272,0.0508506,-0.3407154,3.1627329721731385,3.1343868439266838,3.518699847521943
28,16305089,750.0,665.7142857142857,3.0,1.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,30,20,28,22,76,24,64,36,0.5944280307031083,-0.15356457,0.8826659,0.22351414,0.063495964,0.5572551,-0.17185839,-0.1738896,0.64406836,0.5773623,0.24938427,3.580329225704408,3.787835348078627,3.9239013304649992
29,17185517,720.0,551.2962962962963,4.0,2.0,2.0,0,0,0,1,0,0,0,0,615.710027100271,29,26,24,21,70,30,61,39,0.3147023274789525,0.22781444,-0.18743122,-1.2699296,-0.048056394,0.935697,0.6085615,-0.48491052,0.06498644,-0.26916817,-0.68159294,3.3970483172821435,2.9277461533715545,3.6224959467034825
