,Suburb
Group Total,8463
Albert Park-Middle Park-West St Kilda,651
Ferntree Gully,651
Rowville,651
Wantirna-Scoresby,651
Yarra Ranges,651
Berwick,651
Cranbourne,651
Dandenong,651
Dandenong North-Endeavour Hills,651
Narre Warren-Hampton Park,651
Noble Park,651
Pakenham,651
Springvale,651
Dromana-Portsea,651
Frankston,651
Hastings-Flinders,651
Ringwood,651
Croydon-Lilydale,651
Seaford-Carrum Downs,651
Boronia,651
Sunbury,651
West Brunswick,651
Bundoora-Greensborough-Hurstbridge,651
Eltham-Research-Montmorency,651
Fairfield-Alphington,651
Heidelberg-Heidelberg West,651
Ivanhoe-Ivanhoe East,651
Mill Park-Epping,651
Northcote,651
Preston,651
Reservoir,651
Thomastown-Lalor,651
Thornbury,651
Whittlesea,651
Bayswater,651
Mt Eliza-Mornington-Mt Martha,651
Belmont-Grovedale,651
Oak Park-Glenroy-Fawkner,651
Corio,651
Horsham,651
Mildura,651
Moe-Newborough,651
Morwell,651
Ocean Grove-Barwon Heads,651
Portland,651
Sale-Maffra,651
Seymour,651
Shepparton,651
Swan Hill,651
Torquay,651
Traralgon,651
Wanagaratta,651
Warragul,651
Warrnambool,651
Hamilton,651
Echuca,651
Castlemaine,651
Mount Clear-Buninyong,651
Geelong-Newcombe,651
Herne Hill-Geelong West,651
Lara,651
Newtown,651
North Geelong,651
Ballarat,651
Sebastopol-Delacombe,651
Benalla,651
Wendouree-Alfredton,651
Bendigo,651
Flora Hill-Bendigo East,651
Golden Square-Kangaroo Flat,651
North Bendigo,651
Bairnsdale,651
Pascoe Vale-Coburg North,651
Moonee Ponds-Ascot Vale,651
Armadale,651
Keilor,651
St Kilda,651
Toorak,651
Balwyn,651
Blackburn,651
Box Hill,651
Bulleen-Templestowe-Doncaster,651
Burwood-Ashburton,651
Camberwell-Glen Iris,651
Canterbury-Surrey Hills-Mont Albert,651
Chadstone-Oakleigh,651
Clayton,651
Doncaster East-Donvale,651
East Hawthorn,651
Glen Waverley-Mulgrave,651
Hawthorn,651
Southbank,651
South Yarra,651
South Melbourne,651
East St Kilda,651
Carlton North,651
Carlton-Parkville,651
CBD-St Kilda Rd,651
Collingwood-Abbotsford,651
Docklands,651
East Melbourne,651
Elwood,651
Richmond-Burnley,651
Fitzroy,651
Fitzroy North-Clifton Hill,651
Flemington-Kensington,651
North Melbourne-West Melbourne,651
Port Melbourne,651
Prahran-Windsor,651
Kew,651
Mount Waverley,651
Nunawading-Mitcham,651
Yarraville-Seddon,651
St Albans-Deer Park,651
Sunshine,651
Sydenham,651
Werribee-Hoppers Crossing,651
West Footscray,651
Williamstown,651
Broadmeadows-Roxburgh Park,651
Melton,651
Brunswick,651
Coburg-Pascoe Vale South,651
Craigieburn,651
East Brunswick,651
Essendon,651
Gladstone Park-Tullamarine,651
Newport-Spotswood,651
Keilor East-Avondale Heights,651
Vermont-Forest Hill-Burwood East,651
Cheltenham,651
Aspendale-Chelsea-Carrum,651
Bentleigh,651
Brighton,651
Brighton East,651
Carnegie,651
Caulfield,651
Elsternwick,651
Footscray,651
Hampton-Beaumaris,651
Malvern,651
Malvern East,651
Mentone-Parkdale-Mordialloc,651
Murrumbeena-Hughesdale,651
Altona,651
Wodonga,651
